,username,password,usertype,classes
0,2016311001.0,2016311001.0,1,C_class
1,2016311002.0,2016311002.0,1,C_class
2,2016311003.0,2016311003.0,1,C_class
3,2016311004.0,2016311004.0,1,Cpp_class
4,2016311005.0,2016311005.0,1,C_class
5,2016311006.0,2016311006.0,1,Cpp_class
6,2016311007.0,2016311007.0,1,C_class
7,2016311008.0,2016311008.0,1,Cpp_class
8,2016311009.0,2016311009.0,1,C_class
9,2016311010.0,2016311010.0,1,C_class
10,2016311011.0,2016311011.0,1,C_class
11,2016311012.0,2016311012.0,1,C_class
12,2016311013.0,2016311013.0,1,Cpp_class
13,2016311014.0,2016311014.0,1,C_class
14,2016311015.0,2016311015.0,1,Cpp_class
15,2016311016.0,2016311016.0,1,C_class
16,2016311017.0,2016311017.0,1,Cpp_class
17,2016311018.0,2016311018.0,1,Cpp_class
18,2016311019.0,2016311019.0,1,Cpp_class
19,2016311020.0,2016311020.0,1,C_class
20,2016311021.0,2016311021.0,1,C_class
21,2016311022.0,2016311022.0,1,C_class
22,2016311023.0,2016311023.0,1,Cpp_class
23,2016311024.0,2016311024.0,1,C_class
24,2016311025.0,2016311025.0,1,C_class
25,2016311026.0,2016311026.0,1,C_class
26,2016311027.0,2016311027.0,1,Cpp_class
27,2016311028.0,2016311028.0,1,Cpp_class
28,2016311029.0,2016311029.0,1,C_class
29,2016311030.0,2016311030.0,1,Cpp_class
30,2016311031.0,2016311031.0,1,C_class
31,2016311032.0,2016311032.0,1,Cpp_class
32,2016311033.0,2016311033.0,1,Cpp_class
33,2016311034.0,2016311034.0,1,Cpp_class
34,2016311035.0,2016311035.0,1,C_class
35,2016311036.0,2016311036.0,1,Cpp_class
36,2016311037.0,2016311037.0,1,Cpp_class
37,2016311038.0,2016311038.0,1,Cpp_class
38,2016311039.0,2016311039.0,1,Cpp_class
39,2016311040.0,2016311040.0,1,C_class
40,2016311041.0,2016311041.0,1,Cpp_class
41,2016311042.0,2016311042.0,1,Cpp_class
42,2016311043.0,2016311043.0,1,Cpp_class
43,2016311044.0,2016311044.0,1,Cpp_class
44,2016311045.0,2016311045.0,1,Cpp_class
45,2016311046.0,2016311046.0,1,C_class
46,2016311047.0,2016311047.0,1,Cpp_class
47,2016311048.0,2016311048.0,1,Cpp_class
48,2016311049.0,2016311049.0,1,C_class
49,2016311050.0,2016311050.0,1,Cpp_class
50,2016311051.0,2016311051.0,1,Cpp_class
51,2016311052.0,2016311052.0,1,C_class
52,2016311053.0,2016311053.0,1,Cpp_class
53,2016311054.0,2016311054.0,1,C_class
54,2016311055.0,2016311055.0,1,C_class
55,2016311056.0,2016311056.0,1,Cpp_class
56,2016311057.0,2016311057.0,1,C_class
57,2016311058.0,2016311058.0,1,Cpp_class
58,2016311059.0,2016311059.0,1,Cpp_class
59,2016311060.0,2016311060.0,1,Cpp_class
60,2016311061.0,2016311061.0,1,Cpp_class
61,2016311062.0,2016311062.0,1,Cpp_class
62,2016311063.0,2016311063.0,1,C_class
63,2016311064.0,2016311064.0,1,C_class
64,2016311065.0,2016311065.0,1,C_class
65,2016311066.0,2016311066.0,1,Cpp_class
66,2016311067.0,2016311067.0,1,Cpp_class
67,2016311068.0,2016311068.0,1,C_class
68,2016311069.0,2016311069.0,1,Cpp_class
69,2016311070.0,2016311070.0,1,C_class
70,2016311071.0,2016311071.0,1,Cpp_class
71,2016311072.0,2016311072.0,1,C_class
72,2016311073.0,2016311073.0,1,Cpp_class
73,2016311074.0,2016311074.0,1,Cpp_class
74,2016311075.0,2016311075.0,1,Cpp_class
75,2016311076.0,2016311076.0,1,C_class
76,2016311077.0,2016311077.0,1,Cpp_class
77,2016311078.0,2016311078.0,1,Cpp_class
78,2016311079.0,2016311079.0,1,C_class
79,2016311080.0,2016311080.0,1,C_class
80,2016311081.0,2016311081.0,1,Cpp_class
81,2016311082.0,2016311082.0,1,C_class
82,2016311083.0,2016311083.0,1,Cpp_class
83,2016311084.0,2016311084.0,1,C_class
84,2016311085.0,2016311085.0,1,Cpp_class
85,2016311086.0,2016311086.0,1,Cpp_class
86,2016311087.0,2016311087.0,1,Cpp_class
87,2016311088.0,2016311088.0,1,C_class
88,2016311089.0,2016311089.0,1,C_class
89,2016311090.0,2016311090.0,1,Cpp_class
90,2016311091.0,2016311091.0,1,Cpp_class
91,2016311092.0,2016311092.0,1,C_class
92,2016311093.0,2016311093.0,1,Cpp_class
93,2016311094.0,2016311094.0,1,C_class
94,2016311095.0,2016311095.0,1,Cpp_class
95,2016311096.0,2016311096.0,1,C_class
96,2016311097.0,2016311097.0,1,Cpp_class
97,2016311098.0,2016311098.0,1,C_class
98,2016311099.0,2016311099.0,1,Cpp_class
99,2016311100.0,2016311100.0,1,Cpp_class
